init_time,test_name
0.071894,rust-spin-n-body
0.087279,rust-spin-n-body
0.090834,rust-spin-n-body
0.084155,rust-spin-n-body
0.051277,rust-spin-n-body
0.096532,rust-spin-n-body
0.116414,rust-spin-n-body
0.072082,rust-spin-n-body
0.095655,rust-spin-n-body
0.049857,rust-spin-n-body
0.085874,rust-spin-n-body
0.089679,rust-spin-n-body
0.083812,rust-spin-aes
0.081261,rust-spin-aes
0.066652,rust-spin-aes
0.087966,rust-spin-aes
0.083355,rust-spin-aes
0.065838,rust-spin-aes
0.068637,rust-spin-aes
0.058956,rust-spin-aes
0.054816,rust-spin-aes
0.069752,rust-spin-aes
0.092377,rust-spin-aes
0.070418,rust-spin-aes
0.063068,rust-spin-aes
0.072740,rust-spin-aes
0.067870,rust-spin-aes
0.054562,rust-spin-aes
0.070183,rust-spin-aes
0.056747,rust-spin-aes
0.096025,rust-spin-aes
0.066961,rust-spin-aes
0.087263,rust-spin-aes
0.074810,rust-spin-aes
0.077800,rust-spin-aes
0.057040,rust-spin-aes
0.059829,rust-spin-aes
0.051024,rust-spin-aes
0.079576,rust-spin-aes
0.083186,rust-spin-aes
0.080895,rust-spin-aes
0.090305,rust-spin-aes
0.083055,rust-spin-aes
0.072522,rust-spin-aes
0.070800,rust-spin-aes
0.072767,rust-spin-aes
0.057681,rust-spin-aes
0.088750,rust-spin-aes
0.069577,rust-spin-aes
0.082021,rust-spin-aes
0.088014,rust-spin-aes
0.058696,rust-spin-aes
0.094458,rust-spin-aes
0.092088,rust-spin-aes
0.079515,rust-spin-aes
0.084082,rust-spin-aes
0.058729,rust-spin-aes
0.050519,rust-spin-aes
0.080500,rust-spin-aes
0.158287,rust-spin-aes
0.089337,rust-spin-aes
0.081886,rust-spin-aes
0.091917,rust-spin-aes
0.070378,rust-spin-aes
0.072338,rust-spin-aes
0.057276,rust-spin-aes
0.091826,rust-spin-aes
0.067530,rust-spin-aes
0.058189,rust-spin-aes
0.090759,rust-spin-aes
0.083677,rust-spin-aes
0.071552,rust-spin-aes
0.062724,rust-spin-aes
0.081378,rust-spin-aes
0.088507,rust-spin-aes
0.076823,rust-spin-aes
0.054675,rust-spin-aes
0.057154,rust-spin-aes
0.080693,rust-spin-aes
0.085646,rust-spin-aes
0.088066,rust-spin-aes
0.082630,rust-spin-aes
0.053365,rust-spin-aes
0.084052,rust-spin-aes
0.077640,rust-spin-aes
0.053004,rust-spin-aes
0.086128,rust-spin-aes
0.078725,rust-spin-aes
0.088479,rust-spin-aes
0.082128,rust-spin-aes
0.068036,rust-spin-aes
0.095475,rust-spin-aes
0.076923,rust-spin-aes
0.081881,rust-spin-aes
0.064617,rust-spin-aes
0.068531,rust-spin-aes
0.058603,rust-spin-aes
0.055048,rust-spin-aes
0.090770,rust-spin-aes
0.088040,rust-spin-aes
0.075804,rust-spin-aes
0.083620,rust-spin-aes
0.069951,rust-spin-aes
0.061260,rust-spin-aes
0.083924,rust-spin-aes
0.050638,rust-spin-aes
0.084795,rust-spin-aes
0.052757,rust-spin-aes
0.076425,rust-spin-aes
0.054072,rust-spin-aes
0.063888,rust-spin-aes
0.067625,rust-spin-aes
0.054160,rust-spin-prime-numbers
0.053623,rust-spin-prime-numbers
0.068933,rust-spin-prime-numbers
0.050363,rust-spin-prime-numbers
0.080057,rust-spin-prime-numbers
0.074136,rust-spin-prime-numbers
0.050807,rust-spin-prime-numbers
0.086850,rust-spin-prime-numbers
0.056314,rust-spin-prime-numbers
0.060137,rust-spin-prime-numbers
0.090721,rust-spin-prime-numbers
0.054005,rust-spin-prime-numbers
